text,label
"Với mức độ ưu tiên Cao, Long chịu trách nhiệm Cập nhật ragent để hỗ trợ mô hình address mới của dự án EnRoute – Messaging Address Controller trước lễ 30/4",1
"cho dự án TypedAddress MaaS Core, Lan cần Console-IoT-UI - Tạo form cho Device Information vào thứ 5 với mức độ ưu tiên Cao",1
"Với tư cách Monitor , xem tất cả connections cho một address space cùng với authenticated identity , age , last activity time , ingress / egress rates , protocol trong dự án TypedAddress MaaS Core cần được thực hiện bởi Nguyễn Văn Hải trước ngày 01/01/2026 với ưu tiên Trung bình",1
Long thực hiện API console authentication services chỉ đọc [ console mock ser ver ] trước ngày 25 tháng 12 trong dự án Cloud Messaging Orchestrator,1
"cho dự án A-MQ Messaging-as-a-Service, Long triển khai Mục đích của topic receiver count không rõ ràng trước 17h chiều nay với mức độ ưu tiên Bình thường",1
"thuộc dự án Cloud Messaging Orchestrator, Hồng chịu trách nhiệm Sử dụng address trên address list page thay vì name hạn cuối là 10/06 với mức độ ưu tiên Trung bình",1
Cho phép sắp xếp Addresses theo số lượng message cho dự án A-MQ Messaging-as-a-Service cần được thực hiện bởi Nguyễn Văn Hải hạn cuối là 10/06 với ưu tiên Bình thường,1
Mai được giao Triển khai Hono Tenant API được hỗ trợ bởi CRDs trong vòng 1 giờ nữa với mức độ ưu tiên Vừa phải,1
"Với mức độ ưu tiên Khẩn cấp, Nguyễn Văn Hải phải [ Test ] Điều tra LPT run test fails thuộc dự án TypedAddress MaaS Core vào lúc 10h30 sáng thứ 5",1
Nam yêu cầu Làm cho hành vi broker trên rejected messages có thể cấu hình trước ngày 25 tháng 12 ,1
"Giao cho Tài CVP trigger job từ iib message và chạy olm tests của dự án ,dealine: sáng thứ 3 tới với ưu tiên Khẩn cấp",1
"trước ngày 31/12/2025, Nam đảm bảo Docs : Xoá nội dung IoT khỏi docs thuộc dự án Cloud Messaging Orchestrator với mức độ ưu tiên Trung bình",1
Tài thực hiện Network policies không được xoá khi address space bị xoá vào lúc 10h sáng thứ 2 tuần sau của dự án MeshRoute,1
Long yêu cầu Console-IoT-UI - Tích hợp change connection type ( kebab dropdown option ) functionality trong device detail page đầu tháng sau với mức độ ưu tiên Khẩn cấp,1
"Với mức độ ưu tiên Vừa phải, Tài chịu trách nhiệm Tạo device registry dựa trên JDBC cho dự án EnRoute – Messaging Address Controller trước ngày 25 tháng 12",1
"Giao cho Trương Văn Đức Với tư cách Tenant Admin , liên kết address với Dead Letter Queue nơi các messages hết hạn hoặc không thể phân phối có thể được định tuyến của dự án ,dealine: trước 17h chiều nay với ưu tiên Trung bình",1
Nguyễn Thanh Hiếu cần Console-Ui-iot Sửa đổi Dialog Prompt component để bao gồm icon color và label cho confirm button trước ngày 01/05/2025 ,1
Hồng thực hiện Resource defragmentation cho pooled addresses không hoạt động trong dự án MeshRoute trước thứ 2 tuần sau với mức độ ưu tiên Gấp,1
Trương Văn Đức cần [ CI ] Kiểm tra weekly ocp vào lúc 10h30 sáng thứ 5 ,1
"Minh tiếp tục hỗ trợ nhóm frontend kiểm tra xử lý lỗi hiển thị sau tích hợp.",1
"Hải theo dõi tiến độ và đảm bảo các nhóm phối hợp nhịp nhàng theo kế hoạch.",1
"Tài cập nhật toàn bộ test case lên hệ thống quản lý kiểm thử trong ngày hôm nay.",1
"Mai hoàn thành giao diện phần báo cáo trước ngày 20/04.",1
"Long thực hiện rà soát mã nguồn backend để phát hiện các lỗi tiềm ẩn.",1
"Minh viết tài liệu hướng dẫn sử dụng dashboard cho người dùng cuối.",1
"Hải lên lịch họp sprint review cho tuần tới.",1
"Tài phân tích hiệu năng chức năng tìm kiếm và tối ưu nếu cần.",1
"Mai bổ sung xác thực hai lớp (2FA) vào giao diện đăng nhập.",1
"Long cập nhật thông tin phiên bản API trong tài liệu kỹ thuật.",1
"Quỳnh thiết kế khung hiển thị thông báo lỗi theo chuẩn UX mới.",1
"Hòa kiểm thử chức năng quản lý người dùng trên trình duyệt Safari.",1
"Kỳ Anh tạo sơ đồ class UML cho module xử lý đơn hàng.",1
"Hiệp cấu hình tham số memory limit cho container backend.",1
"Sơn triển khai chức năng xuất file báo cáo PDF cho admin.",1
"Trung viết unit test cho module xác thực người dùng.",1
"Bảo tối ưu responsive layout để tương thích tốt với tablet.",1
"Kiên tổng hợp feedback từ người dùng thử nghiệm giai đoạn 1.",1
"Quang tích hợp hệ thống đăng nhập bằng Google SSO.",1
"Minh phối hợp với nhóm backend kiểm tra kết nối API.",1
"Hải cập nhật biểu đồ Gantt cho toàn bộ tiến độ dự án.",1
"Tài cấu hình CI/CD pipeline cho môi trường staging.",1
"Mai kiểm tra lại các liên kết trong giao diện trang chủ.",1
"Long xác minh dữ liệu mẫu trên môi trường production.",1
"Hòa viết tài liệu README cho kho mã nguồn frontend.",1
"Kỳ Anh hỗ trợ kiểm thử đa trình duyệt cho phiên bản mới.",1
"Hiệp triển khai logging cho toàn bộ API endpoint.",1
"Sơn mô hình hóa các flow xử lý trong sơ đồ hoạt động BPMN.",1
"Trung cập nhật tài liệu hướng dẫn cài đặt hệ thống.",1
"Bảo cải tiến hiệu năng tải trang dashboard chính.",1
"Kiên kiểm tra lại permission role của từng loại người dùng.",1
"Quang sửa lỗi không hiển thị thông báo khi đăng ký thất bại.",1
"Minh thiết kế màn hình chi tiết công việc theo yêu cầu mới.",1
"Tài kiểm thử đồng thời nhiều phiên người dùng đăng nhập.",1
"Hải phân tích nguy cơ chậm tiến độ từ nhóm thiết kế.",1
"Mai hoàn tất thiết kế biểu mẫu nhập dữ liệu.",1
"Long đảm bảo đồng bộ dữ liệu giữa các bảng liên quan.",1
"Quỳnh rà soát tất cả commit trước khi tạo pull request.",1
"Hòa tích hợp thư viện biểu đồ để hiển thị thống kê.",1
"Kỳ Anh viết test automation cho quy trình đăng ký.",1
"Hiệp triển khai cảnh báo lỗi trong môi trường staging.",1
"Sơn phân tích log hệ thống để xác định nguyên nhân lỗi 502.",1
"Trung hoàn thiện phần upload hình ảnh với tính năng preview.",1
"Bảo chuẩn hóa code CSS theo cấu trúc BEM.",1
"Kiên tổ chức buổi demo chức năng chính với khách hàng.",1
"Quang tạo biểu mẫu phản hồi người dùng trên giao diện.",1
"Minh xây dựng cấu trúc thư mục cho frontend project.",1
"Tài cập nhật cấu hình nginx để hỗ trợ rewrite URL.",1
"Hải xác minh các điều kiện đầu vào trong tất cả form.",1
"Mai viết checklist kiểm tra chất lượng phần mềm trước release.",1
"Giao cho Mai MQTT có phải là loại namespace - Cung cấp cách cấu hình mapping và chỉ định plan ,dealine: lúc 14h ngày 25/12/2025 với ưu tiên Trung bình",1
"Giao cho Lan Console-IoT-UI - Triển khai clone device functionality trong device detail page ,dealine: trước ngày 31/12/2025 với ưu tiên Vừa phải",1
"Giao cho Long Không thử lại khi tạo namespace ,dealine: trong tuần tới với ưu tiên Bình thường",1
"Với mức độ ưu tiên Cao, Hồng đảm nhận [ CI ] Tạo plots và lưu trong jenkins cho scale / perf tests cho dự án A-MQ Messaging-as-a-Service trước đầu tháng sau",1
"Giao cho Mai Docs : Thay đổi tiêu đề RNs để phản ánh hướng dẫn CCS mới cho dự án ,dealine: trước ngày 12 tháng 8 năm 2025 với ưu tiên Khẩn cấp",1
[ Console-UI ] Tạo Visual component cho clone device của dự án Cloud Messaging Orchestrator cần được thực hiện bởi Nguyễn Thanh Hiếu vào thứ 5 với ưu tiên Gấp,1
Lan được giao Hiệu suất tạo addresses giảm sau khi tạo 7-8 k addresses trên 1.2.1 trước ngày 20/05/2025 ưu tiên Ưu tiên,1
"cho dự án EnRoute – Messaging Address Controller, Mai tiến hành Tự động hoá Operator bundle image Rebuild và Release khi có thay đổi với bất kỳ related image trước 17h chiều nay với mức độ ưu tiên Gấp",1
Hồng đảm bảo Docs : Xoá các link yaml file vào sáng thứ 3 tới với mức độ ưu tiên Khẩn cấp,1
"trước ngày 12 tháng 8 năm 2025, Lan thực hiện Có hostname trong các ví dụ code tài liệu online khớp với hostname thực cho dịch vụ cho dự án MeshRoute với mức độ ưu tiên Khẩn cấp",1
Trương Văn Đức phải Xác thực APIs REST / v 1 / addressspaces bằng RBAC thuộc dự án EnRoute – Messaging Address Controller trong hôm nay với mức độ ưu tiên Bình thường,1
"Mai phải Với tư cách System Admin , cấu hình hệ thống để tất cả address spaces có thể nhận messages từ applications chạy ngoài cluster trước thứ 2 tuần sau với mức độ ưu tiên Cao",1
"Lan chịu trách nhiệm Với tư cách MaaS Tenant Admin , quản lý addresses / destinations trước ngày 15/4 với mức độ ưu tiên Khẩn cấp",1
"Giao cho Long console - Xoá old console route ,dealine: trước thứ 2 tuần sau với ưu tiên Vừa phải",1
"Với mức độ ưu tiên Ưu tiên, Nam đảm bảo Với tư cách Tenant Admin , cấu hình address space để kích hoạt / vô hiệu hoá connections bằng MQTT protocol thuộc dự án A-MQ Messaging-as-a-Service trước ngày 30/04",1
Nguyễn Thanh Hiếu đảm nhận [ Shared infra ] Thêm hỗ trợ cho tất cả address types thuộc dự án EnRoute – Messaging Address Controller trước ngày 02/09 với mức độ ưu tiên Ưu tiên,1
"Tài tiến hành Với tư cách Developer , kết nối tới messaging space từ ngoài cluster bằng MQTT protocol sử dụng TLS qua WebSockets trước ngày 15/04/2025 cho dự án A-MQ Messaging-as-a-Service",1
Trương Văn Đức triển khai Hỗ trợ v1 của CRD API của dự án A-MQ Messaging-as-a-Service hạn cuối là 10/06 với mức độ ưu tiên Khẩn cấp,1
"Nguyễn Văn Hải thực hiện Là Customer , thấy messaging routes / ingresses khi mở address space trong console trước ngày mai thuộc dự án EnRoute – Messaging Address Controller",1
Long phải Di chuyển command và control systemtests sang mô hình mới trong hôm nay ,1
"Với mức độ ưu tiên Trung bình, Nam xử lý Keycloak plugin hỗ trợ OAUTH2 thuộc dự án TypedAddress MaaS Core trước thứ 2 tuần sau",1
